Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Chassis,-0.034432,-0.049783,-0.0017009,0,0,0,4.6813,0.13093,-0.010187,-1.0878E-07,0.19442,-6.3597E-06,0.18221,0,0,0,0,0,0,package://GazeboV1/meshes/Chassis.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://GazeboV1/meshes/Chassis.STL,,SinglePartChassis-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
RightWheel,1.6653E-16,-2.0817E-17,0.0051,0,0,0,0.33861,0.00034758,-7.2847E-20,9.6809E-18,0.00034758,4.2043E-19,0.00068952,0,0,0,0,0,0,package://GazeboV1/meshes/RightWheel.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://GazeboV1/meshes/RightWheel.STL,,CustomRobotWheel-1,Origin_RightRevolute,Axis_RightRevolute,RightRevolute,continuous,-0.0464879186474883,0.13117170540085,-0.191028392468994,3.14159265358979,0,1.5707963267949,Chassis,0,0,1,,,,,,,0,0,,,,
LeftWheel,-6.93889390390723E-17,-5.55111512312578E-17,-0.00510000000000457,0,0,0,0.338614058747035,0.000347581051317554,0,5.18653076214745E-18,0.000347581051317554,2.0942724352016E-18,0.000689518301963574,0,0,0,0,0,0,package://GazeboV1/meshes/LeftWheel.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://GazeboV1/meshes/LeftWheel.STL,,CustomRobotWheel-2,Origin_LeftRevolute,Axis_LeftRevolute,LeftRevolute,continuous,-0.0464879186474897,0.131171705400839,0.188167736746003,-3.14159265358976,0,0.415802035717092,Chassis,0,0,1,,,,,,,0,0,,,,
FrontCastor,0.0030314,0.034563,-2.7756E-17,0,0,0,0.067153,4.4926E-05,-6.705E-06,5.9566E-21,9.6191E-06,1.5989E-20,4.9799E-05,0,0,0,0,0,0,package://GazeboV1/meshes/FrontCastor.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://GazeboV1/meshes/FrontCastor.STL,,CustomCastor-1,Origin_FrontCastorRevolute,Axis_FrontCastorRevolute,FrontCastorRevolute,continuous,0.17263668098028,0.106171705400847,-0.00173226325399095,3.14159265358979,-1.54598030035848,3.14159265358979,Chassis,0,1,0,,,,,,,0,0,,,,
FrontCastorWheel,-1.38777878078145E-17,0,-6.38378239159465E-16,0,0,0,0.0317645176567402,3.91504603938205E-06,4.2351647362715E-22,4.823176348906E-21,3.91504603938205E-06,-3.90529550879625E-21,7.40108172021949E-06,0,0,0,0,0,0,package://GazeboV1/meshes/FrontCastorWheel.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://GazeboV1/meshes/FrontCastorWheel.STL,,CustomCastorWheel-1,Origin_FrontCastorWheelRevolute,Axis_FrontCastorWheelRevolute,FrontCastorWheelRevolute,continuous,0.0320000000000025,0.0674999999999988,0,0,0,-2.72865613261179,FrontCastor,0,0,1,,,,,,,0,0,,,,
RearCastor,0.00303144893180135,0.0345627416364439,2.77555756156289E-17,0,0,0,0.0671525104446696,4.49259698602978E-05,-6.70501812215977E-06,2.83273439653558E-21,9.61913985679222E-06,-6.97283315371065E-21,4.97992078191438E-05,0,0,0,0,0,0,package://GazeboV1/meshes/RearCastor.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://GazeboV1/meshes/RearCastor.STL,,CustomCastor-2,Origin_RearCastorRevolute,Axis_RearCastorRevolute,RearCastorRevolute,continuous,-0.265612518275258,0.106171705400852,-0.00173226325399275,3.14159265358978,0.863215800991521,-3.14159265358979,Chassis,0,1,0,,,,,,,0,0,,,,
RearCastorWheel,0,-2.7756E-17,-1.3878E-16,0,0,0,0.031765,3.915E-06,-1.0588E-22,2.54E-21,3.915E-06,7.4698E-22,7.4011E-06,0,0,0,0,0,0,package://GazeboV1/meshes/RearCastorWheel.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://GazeboV1/meshes/RearCastorWheel.STL,,CustomCastorWheel-2,Origin_RearCastorWheelRevolute,Axis_RearCastorWheelRevolute,RearCastorWheelRevolute,continuous,0.0319999999999975,0.0675000000000008,0,0,0,1.29966071100025,RearCastor,0,0,1,,,,,,,0,0,,,,
Battery,6.8695E-16,0.0925,-7.5677E-17,0,0,0,17.512,0.17268,1.0974E-15,6.6121E-16,0.33347,3.2497E-17,0.26068,0,0,0,0,0,0,package://GazeboV1/meshes/Battery.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://GazeboV1/meshes/Battery.STL,,mockBattery-1,Origin_Fixed_Chassis_Battery2,Axis_Fixed_Chassis_Battery,Fixed_Chassis_Battery,fixed,-0.0464879186474911,-0.102828294599153,-0.00143226325399549,0,0,0,Chassis,0,0,0,,,,,,,,,,,,
LiDAR,0,0.0204,2.6021E-18,0,0,0,0.18025,8.8373E-05,-2.6647E-37,-1.7334E-53,0.00012674,2.4957E-21,8.8373E-05,0,0,0,0,0,0,package://GazeboV1/meshes/LiDAR.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://GazeboV1/meshes/LiDAR.STL,,MockLiDAR-1,Origin_Fixe_Battery_LiDAR2,Axis_Fixed_Battery_LiDAR,Fixed_Battery_LiDAR,fixed,0.143512081352509,-0.109028294599157,-0.00173226325399941,3.14159265358979,0,0,Chassis,0,0,0,,,,,,,,,,,,
WoodRod,1.0842E-18,-5.1576E-06,0.65004,0,0,0,0.70171,0.098881,-1.9823E-21,-8.8385E-20,0.098881,-3.6206E-07,0.00010523,0,0,0,0,0,0,package://GazeboV1/meshes/WoodRod.STL,1,1,1,1,0,0,0,0,0,0,package://GazeboV1/meshes/WoodRod.STL,,Wood Rod-1,Origin_Fixed_Chassis_WoodRod2,Axis_Fixed_Chassis_WoodRod,Fixed_Chassis_WoodRod,fixed,-0.046487918647492,-1.44582829459916,-0.00173226325399934,1.5707963267949,-1.5707963267949,0,Chassis,0,0,0,,,,,,,,,,,,
