Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Chassis,0.0269095443731569,0.0453323740979076,0.00338251947577584,0,0,0,4.71173330321545,0.131230257498409,-0.00965992784236992,-5.99613989356189E-08,0.195410162986863,6.45264756717054E-06,0.183471725736634,0,0,0,0,0,0,package://GazeboV0/meshes/Chassis.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://GazeboV0/meshes/Chassis.STL,,SinglePartChassis-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
RightWheel,-4.16333634234434E-17,0,0.00510000000000468,0,0,0,0.338614058747035,0.000347581051317554,-1.01643953670217E-20,-2.39239615850713E-18,0.000347581051317554,4.29776253994726E-19,0.000689518301963574,0,0,0,0,0,0,package://GazeboV0/meshes/RightWheel.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://GazeboV0/meshes/RightWheel.STL,,CustomRobotWheel-1,Origin_RightRevolute,Axis_RightRevolute,RightRevolute,continuous,0.040115,0.18594,-0.13626,-1.5708,0.15664,0,Chassis,0,0,1,,,,,,,0.01,0.01,,,,
LeftWheel,9.75608482889356E-15,-3.19189119579733E-16,-0.384296129215001,0,0,0,0.338614058747035,0.000347581051317554,3.65109595413485E-32,-8.76963966855234E-18,0.000347581051317554,3.26098816688528E-19,0.000689518301963574,0,0,0,0,0,0,package://GazeboV0/meshes/LeftWheel.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://GazeboV0/meshes/LeftWheel.STL,,CustomRobotWheel-2,Origin_LeftRevolute,Axis_LeftRevolute,LeftRevolute,continuous,0.040115,0.18594,-0.13626,-1.5708,-0.8089,0,Chassis,0,0,1,,,,,,,0.01,0.01,,,,
FrontCastor,0.0030314489318095,0.0345627416364458,-2.33146835171283E-15,0,0,0,0.0671525104446695,4.49259698602968E-05,-6.70501812216222E-06,6.59626907674286E-20,9.61913985679315E-06,3.5488033511995E-19,4.97992078191438E-05,0,0,0,0,0,0,package://GazeboV0/meshes/FrontCastor.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://GazeboV0/meshes/FrontCastor.STL,,CustomCastor-1,Origin_FrontCastorRevolute,Axis_FrontCastorRevolute,FrontCastorRevolute,continuous,-0.17901,-0.0033514,-0.11126,-1.5708,0,1.5956,Chassis,0,1,0,,,,,,,0.01,0.01,,,,
FrontCastorWheel,0,-1.38777878078145E-17,-2.692290834716E-15,0,0,0,0.0317645176567402,3.91504603938205E-06,7.41153828847513E-22,2.11096492323533E-21,3.91504603938204E-06,-3.64621214013375E-21,7.40108172021949E-06,0,0,0,0,0,0,package://GazeboV0/meshes/FrontCastorWheel.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://GazeboV0/meshes/FrontCastorWheel.STL,,CustomCastorWheel-1,Origin_FrontCastorWheelRevolute,Axis_FrontCastorWheelRevolute,FrontCastorWheelRevolute,continuous,0.032,0.0675,0,0,0,1.984,FrontCastor,0,0,1,,,,,,,0.01,0.01,,,,
RearCastor,0.00303144893180851,0.0345627416364456,-1.22124532708767E-14,0,0,0,0.0671525104446697,4.49259698602973E-05,-6.70501812216102E-06,3.2695471764016E-19,9.61913985679271E-06,1.94821687675364E-18,4.97992078191438E-05,0,0,0,0,0,0,package://GazeboV0/meshes/RearCastor.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://GazeboV0/meshes/RearCastor.STL,,CustomCastor-2,Origin_RearCastorRevolute,Axis_RearCastorRevolute,RearCastorRevolute,continuous,0.25924,-0.0033514,-0.11126,-1.5708,0,2.3562,Chassis,0,1,0,,,,,,,0.01,0.01,,,,
RearCastorWheel,0,2.77555756156289E-17,-1.01862962509358E-14,0,0,0,0.0317645176567403,3.91504603938205E-06,-5.82335151237331E-22,-1.79994501291539E-21,3.91504603938205E-06,1.05879118406788E-22,7.4010817202195E-06,0,0,0,0,0,0,package://GazeboV0/meshes/RearCastorWheel.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://GazeboV0/meshes/RearCastorWheel.STL,,CustomCastorWheel-2,Origin_RearCastorWheelRevolute,Axis_RearCastorWheelRevolute,RearCastorWheelRevolute,continuous,0.032,0.0675,0,0,0,0.34434,RearCastor,0,0,1,,,,,,,0.01,0.01,,,,
Battery,-2.77555756156289E-17,0.0925,2.82152773367628E-15,0,0,0,17.512433,0.172679886227083,-7.17521943866141E-17,-9.46607853575198E-16,0.333465911708333,2.24903143829696E-15,0.260679862052083,0,0,0,0,0,0,package://GazeboV0/meshes/Battery.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GazeboV0/meshes/Battery.STL,,mockBattery-1,Origin_Fixed_Chassis_Battery,,Fixed_Chassis_Battery,fixed,0.040115,-0.0036514,0.097745,-1.5708,0,3.1416,Chassis,0,0,0,,,,,,,,,,,,
LiDAR,-2.77555756156289E-17,0.02,5.63785129692462E-18,0,0,0,0.064,1.70666666666667E-05,2.58629900392802E-22,8.21376807141E-22,1.70666666666667E-05,1.20423640868724E-22,1.70666666666667E-05,0,0,0,0,0,0,package://GazeboV0/meshes/LiDAR.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GazeboV0/meshes/LiDAR.STL,,MockLiDAR-1,Origin_Fixed_Battery_LiDAR,,Fixed_Battery_LiDAR,fixed,-0.14989,-0.0033514,0.10474,1.5708,0,3.1416,Chassis,0,0,0,,,,,,,,,,,,
WoodRod,-2.26988566831565E-15,-5.15756125557543E-06,0.650041260490045,0,0,0,0.701710470821045,0.098880929063303,-5.19150998271822E-22,3.44989160057102E-16,0.0988809460746776,-3.62060800140933E-07,0.000105225289802979,0,0,0,0,0,0,package://GazeboV0/meshes/WoodRod.STL,1,1,1,1,0,0,0,0,0,0,package://GazeboV0/meshes/WoodRod.STL,,Wood Rod-1,Origin_Fixed_Chassis_WoodRod,,Fixed_Chassis_WoodRod,fixed,0.040115,-0.0033514,1.4407,3.1416,0,-1.5708,Chassis,0,0,0,,,,,,,,,,,,
TBS1,-2.08166817117217E-17,0,-0.00275,0,0,0,0.00173867551882195,2.81242393072002E-08,-1.07733169308297E-25,6.43232433632577E-22,9.57958648484737E-08,4.9157531355283E-25,1.1515428174828E-07,0,0,0,0,0,0,package://GazeboV0/meshes/TBS1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GazeboV0/meshes/TBS1.STL,,Teraranger_MultiflexSensor-7,Origin_Fixed_WoodRod_TBS1,,Fixed_WoodRod_TBS1,fixed,0,0.0205,1.05,-1.5708,0,0,WoodRod,0,0,0,,,,,,,,,,,,
TBS2,-2.99239799605999E-17,0,-0.00275,0,0,0,0.00173867551882196,2.81242393072003E-08,-7.56516223604374E-23,6.43735947518725E-22,9.57958648484739E-08,-2.36343625492949E-25,1.1515428174828E-07,0,0,0,0,0,0,package://GazeboV0/meshes/TBS2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GazeboV0/meshes/TBS2.STL,,Teraranger_MultiflexSensor-8,Origin_Fixed_WoodRod_TBS2,Axis_Fixed_WoodRod_TBS2,Fixed_WoodRod_TBS2,fixed,0,0.0205,0.85,-1.5707963267949,0,0,WoodRod,0,0,0,,,,,,,,,,,,
TBS3,-2.12503625807159E-17,0,-0.00275,0,0,0,0.00173867551882195,2.81242393072002E-08,-1.50916302612396E-22,6.44887958080419E-22,9.57958648484737E-08,-2.36343625492254E-25,1.1515428174828E-07,0,0,0,0,0,0,package://GazeboV0/meshes/TBS3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GazeboV0/meshes/TBS3.STL,,Teraranger_MultiflexSensor-11,Origin_Fixed_WoodRod_TBS3,Axis_Fixed_WoodRod_TBS3,Fixed_WoodRod_TBS3,fixed,0,0.0205,0.65,-1.5707963267949,0,0,WoodRod,0,0,0,,,,,,,,,,,,
TBS4,2.73218947466347E-17,4.09782208166121E-11,-0.00275000000000001,0,0,0,0.00173867551882195,2.81242393072002E-08,-1.57689833672588E-22,-6.4427241597485E-22,9.57958648484737E-08,-2.88462890935071E-16,1.1515428174828E-07,0,0,0,0,0,0,package://GazeboV0/meshes/TBS4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GazeboV0/meshes/TBS4.STL,,Teraranger_MultiflexSensor-12,Origin_Fixed_WoodRod_TBS4,Axis_Fixed_WoodRod_TBS4,Fixed_WoodRod_TBS4,fixed,0,0.015,0.45,1.57079631189374,0,0,WoodRod,0,0,0,,,,,,,,,,,,
TBS5,3.03576608295941E-18,4.09781097943096E-11,-0.00275,0,0,0,0.00173867551882196,2.81242393072001E-08,-1.73790056307107E-22,-6.47487423003288E-22,9.57958648484739E-08,-2.88462890345463E-16,1.1515428174828E-07,0,0,0,0,0,0,package://GazeboV0/meshes/TBS5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GazeboV0/meshes/TBS5.STL,,Teraranger_MultiflexSensor-13,Origin_Fixed_WoodRod_TBS5,Axis_Fixed_WoodRod_TBS5,Fixed_WoodRod_TBS5,fixed,0,0.015,0.25,1.57079631189374,0,0,WoodRod,0,0,0,,,,,,,,,,,,
TBS6,-3.86902350435481E-11,3.69675751390464E-05,0.00274975151575344,0,0,0,0.00173867551882195,2.81242393072E-08,-3.66121094548663E-18,-1.22450245460564E-15,9.5799363062521E-08,2.60206933872073E-10,1.15150783534232E-07,0,0,0,0,0,0,package://GazeboV0/meshes/TBS6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GazeboV0/meshes/TBS6.STL,,Teraranger_MultiflexSensor-14,Origin_Fixed_WoodRod_TBS6,Axis_Fixed_WoodRod_TBS6,Fixed_WoodRod_TBS6,fixed,0,0.015,0.0500000000000003,-1.55735316729788,0,0,WoodRod,0,0,0,,,,,,,,,,,,
Camera,0,0.0025,0,0,0,0,0.000125,5.20833333333335E-10,3.24240024973725E-25,2.35533258742828E-26,5.20833333333335E-10,-4.66256020423435E-25,5.20833333333335E-10,0,0,0,0,0,0,package://GazeboV0/meshes/Camera.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GazeboV0/meshes/Camera.STL,,Mock Camera-1,Origin_Fixed_Chassis_Camera,,Fixed_Chassis_Camera,fixed,-0.19689,-0.00085136,0.14724,-3.1416,0,0,Chassis,0,0,0,,,,,,,,,,,,
